Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2020,10,Benin,BEN,Africa,1.2123198E7,,,,,,,,,,1,144,,,
2020,11,Benin,BEN,Africa,1.2123198E7,,,,,,,,,,0,286,,,
2011,1,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,3,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,2,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,5,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,4,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2020,10,Austria,AUT,Europe,8901064.0,6.1,,,9.0,,,5.8,,,81,19461,88.4,88,88.8
2011,7,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,6,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,9,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2011,8,Montenegro,MNE,,,,,,,,,,,,,,57.4,57.9,56.9
2021,2,Guernsey,GGY,Europe,64468.0,,,,,,,,,,1,282,,,
2021,3,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,0,,,
2020,12,Austria,AUT,Europe,8901064.0,6.8,,,12.0,,,6.1,,,2314,164542,88.4,88,88.8
2020,12,Benin,BEN,Africa,1.2123198E7,,,,,,,,,,2,331,,,
2020,9,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,889,53937,,,
2020,11,Austria,AUT,Europe,8901064.0,6.1,,,11.6,,,5.4,,,443,67275,88.4,88,88.8
2021,1,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,239,,,
2020,8,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,539,28436,,,
2021,6,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,5,,,
2020,7,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,494,22367,,,
2021,7,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,67,,,
2020,6,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,375,12863,,,
2020,9,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,118,,,
2021,4,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,1,,,
2020,5,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,373,12842,,,
2020,8,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,17,,,
2021,5,Guernsey,GGY,Europe,64468.0,,,,,,,,,,0,0,,,
2020,4,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,138,5402,,,
2020,7,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,4,,,
2020,3,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,3,47,,,
2020,6,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,29,,,
2020,2,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,0,0,,,
2020,5,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,14,,,
2021,8,Guernsey,GGY,Europe,64468.0,,,,,,,,,,2,191,,,
2020,1,Ukraine,UKR,Europe,4.3733759E7,,,,,,,,,,0,0,,,
2020,4,Gibraltar,GIB,Europe,33691.0,,,,,,,,,,0,118,,,
2021,9,Guernsey,GGY,Europe,64468.0,,,,,,,,,,2,332,,,
2021,8,Denmark,DNK,Europe,5822763.0,4.8,4.8,4.8,10.2,,,3.9,3.9,4.0,18,24784,,,
2020,5,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,1,181,,,
2021,9,Denmark,DNK,Europe,5822763.0,5.1,5.0,5.2,11.8,,,4.0,3.8,4.3,54,17123,,,
2020,4,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,1,18,,,
2020,3,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,0,4,,,
2020,2,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,0,0,,,
2021,4,Denmark,DNK,Europe,5822763.0,5.4,5.3,5.5,11.5,,,4.4,4.4,4.4,62,16903,,,
2020,9,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,36,1617,,,
2021,5,Denmark,DNK,Europe,5822763.0,5.1,5.0,5.2,10.3,,,4.3,4.3,4.3,32,23875,,,
2020,8,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,38,1885,,,
2021,6,Denmark,DNK,Europe,5822763.0,4.8,4.7,4.9,9.1,,,4.1,4.0,4.2,22,16862,,,
2020,7,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,16,861,,,
2021,7,Denmark,DNK,Europe,5822763.0,4.7,4.6,4.7,9.0,,,4.0,3.8,4.1,11,15449,,,
2020,6,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,2,287,,,
2020,1,Swaziland,SWZ,Africa,1160164.0,,,,,,,,,,0,0,,,
2021,1,Denmark,DNK,Europe,5822763.0,,,,,,,,,,771,27199,,,
2021,2,Denmark,DNK,Europe,5822763.0,6.0,5.8,6.3,13.1,,,4.9,4.8,5.0,220,13462,,,
2021,3,Denmark,DNK,Europe,5822763.0,5.7,5.6,5.9,13.0,,,4.5,4.7,4.3,50,19224,,,
2022,1,Bonaire -  Sint Eustatius and Saba,BES,America,26221.0,,,,,,,,,,3,2106,,,
2012,3,Lithuania,LTU,,,14.0,,,29.0,,,12.7,,,,,75.6,72.6,78.5
2021,9,Monaco,MCO,Europe,39244.0,,,,,,,,,,2,217,,,
2012,2,Lithuania,LTU,,,14.1,,,30.0,,,12.7,,,,,75.6,72.6,78.5
2021,8,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,377,,,
2012,5,Lithuania,LTU,,,13.5,,,26.4,,,12.3,,,,,75.6,72.6,78.5
2012,4,Lithuania,LTU,,,13.7,,,27.4,,,12.5,,,,,75.6,72.6,78.5
2021,5,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,62,,,
2021,4,Monaco,MCO,Europe,39244.0,,,,,,,,,,5,180,,,
2012,1,Lithuania,LTU,,,13.9,,,30.3,,,12.5,,,,,75.6,72.6,78.5
2021,7,Monaco,MCO,Europe,39244.0,,,,,,,,,,0,134,,,
2021,6,Monaco,MCO,Europe,39244.0,,,,,,,,,,1,47,,,
2021,1,Monaco,MCO,Europe,39244.0,,,,,,,,,,10,582,,,
2021,3,Monaco,MCO,Europe,39244.0,,,,,,,,,,3,303,,,
2021,2,Monaco,MCO,Europe,39244.0,,,,,,,,,,11,467,,,
2012,7,Lithuania,LTU,,,13.1,,,26.1,,,12.0,,,,,75.6,72.6,78.5
2012,6,Lithuania,LTU,,,13.3,,,26.0,,,12.2,,,,,75.6,72.6,78.5
2012,9,Lithuania,LTU,,,13.1,,,25.8,,,12.0,,,,,75.6,72.6,78.5
2012,8,Lithuania,LTU,,,13.1,,,26.0,,,11.9,,,,,75.6,72.6,78.5
2019,10,Austria,AUT,,,4.9,,,9.8,,,4.3,,,,,89,90.5,87.4
2013,8,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2013,9,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2019,12,Austria,AUT,,,4.5,,,8.6,,,4.0,,,,,89,90.5,87.4
2019,11,Austria,AUT,,,4.4,,,9.2,,,3.8,,,,,89,90.5,87.4
2016,2,Austria,AUT,,,6.4,,,13.9,,,5.2,,,,,87.6,87.1,88.2
2016,1,Austria,AUT,,,6.5,,,12.5,,,5.7,,,,,87.6,87.1,88.2
2016,4,Austria,AUT,,,6.2,,,10.1,,,5.6,,,,,87.6,87.1,88.2
2016,3,Austria,AUT,,,6.3,,,11.0,,,5.6,,,,,87.6,87.1,88.2
2016,6,Austria,AUT,,,6.7,,,12.6,,,5.9,,,,,87.6,87.1,88.2
2016,5,Austria,AUT,,,6.8,,,12.1,,,6.0,,,,,87.6,87.1,88.2
2013,1,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2016,8,Austria,AUT,,,7.0,,,11.7,,,6.3,,,,,87.6,87.1,88.2
2013,2,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2016,7,Austria,AUT,,,6.5,,,12.0,,,5.7,,,,,87.6,87.1,88.2
2013,3,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2013,4,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2016,9,Austria,AUT,,,6.6,,,13.7,,,5.6,,,,,87.6,87.1,88.2
2013,5,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2013,6,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2013,7,Switzerland,CHE,,,,,,,,,,,,,,84.3,82.7,86.4
2007,7,Luxembourg,LUX,,,4.0,,,15.4,,,3.2,,,,,,,
2014,2,Portugal,PRT,,,15.4,,,36.5,,,13.6,,,,,69.4,69.0,69.7
2020,10,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,1,,,
2007,6,Luxembourg,LUX,,,4.1,,,15.3,,,3.3,,,,,,,
2014,1,Portugal,PRT,,,15.4,,,35.5,,,13.8,,,,,69.4,69.0,69.7
2007,9,Luxembourg,LUX,,,4.0,,,15.4,,,3.2,,,,,,,
2014,4,Portugal,PRT,,,15.1,,,36.4,,,13.4,,,,,69.4,69.0,69.7
2020,12,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,2,,,
2007,8,Luxembourg,LUX,,,4.0,,,15.8,,,3.2,,,,,,,
2014,3,Portugal,PRT,,,15.2,,,36.1,,,13.5,,,,,69.4,69.0,69.7
2014,12,Greece,GRC,,,26.1,,,50.5,,,24.4,,,,,,,
2020,11,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,2,,,
2022,1,Zimbabwe,ZWE,Africa,1.4862927E7,,,,,,,,,,215,11200,,,
2007,3,Luxembourg,LUX,,,4.3,,,15.8,,,3.5,,,,,,,
2014,6,Portugal,PRT,,,14.9,,,35.5,,,13.2,,,,,69.4,69.0,69.7
2007,2,Luxembourg,LUX,,,4.4,,,15.8,,,3.6,,,,,,,
2014,5,Portugal,PRT,,,14.9,,,36.7,,,13.2,,,,,69.4,69.0,69.7
2007,5,Luxembourg,LUX,,,4.1,,,15.3,,,3.3,,,,,,,
2014,8,Portugal,PRT,,,14.1,,,32.9,,,12.5,,,,,69.4,69.0,69.7
2007,4,Luxembourg,LUX,,,4.2,,,15.7,,,3.4,,,,,,,
2014,7,Portugal,PRT,,,14.7,,,34.9,,,13.0,,,,,69.4,69.0,69.7
2020,1,Aruba,ABW,America,106766.0,,,,,,,,,,0,0,,,
2009,3,Belgium,BEL,,,8.0,,,21.1,,,6.7,,,,,81,81.4,80.8
2020,2,Aruba,ABW,America,106766.0,,,,,,,,,,0,0,,,
2009,2,Belgium,BEL,,,7.8,,,21.1,,,6.6,,,,,81,81.4,80.8
2014,9,Portugal,PRT,,,13.9,,,32.4,,,12.4,,,,,69.4,69.0,69.7
2020,3,Aruba,ABW,America,106766.0,,,,,,,,,,0,0,,,
2007,1,Luxembourg,LUX,,,4.5,,,15.8,,,3.6,,,,,,,
2009,5,Belgium,BEL,,,7.7,,,21.7,,,6.4,,,,,81,81.4,80.8
2020,4,Aruba,ABW,America,106766.0,,,,,,,,,,2,97,,,
2009,4,Belgium,BEL,,,7.9,,,21.7,,,6.5,,,,,81,81.4,80.8
2020,5,Aruba,ABW,America,106766.0,,,,,,,,,,1,4,,,
2009,7,Belgium,BEL,,,7.9,,,22.0,,,6.6,,,,,81,81.4,80.8
2014,11,Greece,GRC,,,25.7,,,50.9,,,24.1,,,,,,,
2020,6,Aruba,ABW,America,106766.0,,,,,,,,,,0,0,,,
2009,6,Belgium,BEL,,,7.9,,,21.7,,,6.5,,,,,81,81.4,80.8
2014,10,Greece,GRC,,,25.9,,,51.9,,,24.2,,,,,,,
2020,7,Aruba,ABW,America,106766.0,,,,,,,,,,0,4,,,
2009,9,Belgium,BEL,,,8.0,,,22.0,,,6.6,,,,,81,81.4,80.8
2020,8,Aruba,ABW,America,106766.0,,,,,,,,,,0,458,,,
2009,8,Belgium,BEL,,,8.0,,,22.0,,,6.7,,,,,81,81.4,80.8
2020,9,Aruba,ABW,America,106766.0,,,,,,,,,,11,1886,,,
2009,1,Belgium,BEL,,,7.5,,,21.1,,,6.3,,,,,81,81.4,80.8
2021,12,Myanmar,MMR,Asia,5.4409794E7,,,,,,,,,,320,17591,,,
2021,11,Myanmar,MMR,Asia,5.4409794E7,,,,,,,,,,687,28165,,,
2010,8,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2021,10,Myanmar,MMR,Asia,5.4409794E7,,,,,,,,,,1604,46818,,,
2010,9,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2010,2,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2010,3,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2021,11,Yemen,YEM,Asia,2.9825968E7,,,,,,,,,,131,501,,,
2021,12,Yemen,YEM,Asia,2.9825968E7,,,,,,,,,,45,155,,,
2010,1,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2010,6,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2021,10,Yemen,YEM,Asia,2.9825968E7,,,,,,,,,,194,955,,,
2010,7,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2010,4,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2010,5,Poland,POL,,,,,,,,,,,,,,76.3,79.6,73.1
2022,1,Saint Vincent and the Grenadines,VCT,America,110947.0,,,,,,,,,,2,571,,,
2018,10,Poland,POL,,,,,,,,,,,,,,83.1,87.0,79.5
2021,1,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,7,396,,,
2018,12,Poland,POL,,,,,,,,,,,,,,83.1,87.0,79.5
2018,11,Poland,POL,,,,,,,,,,,,,,83.1,87.0,79.5
2020,1,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,2,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,3,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,4,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,5,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,6,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,7,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,8,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,10,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,38,24817,,,
2020,9,Samoa,WSM,Oceania,198410.0,,,,,,,,,,0,0,,,
2020,11,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,70,35106,,,
2020,12,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,74,33846,,,
2015,10,Macedonia -  the former Yugoslav Republic of,MKD,,,,,,,,,,,,,,48,45.1,50.8
2015,11,Macedonia -  the former Yugoslav Republic of,MKD,,,,,,,,,,,,,,48,45.1,50.8
2015,12,Macedonia -  the former Yugoslav Republic of,MKD,,,,,,,,,,,,,,48,45.1,50.8
2018,10,France,FRA,,,8.8,,,21.0,,,7.5,,,,,77.9,76.4,79.4
2020,11,Guyana,GUY,America,786559.0,,,,,,,,,,39,1115,,,
2020,10,Guyana,GUY,America,786559.0,,,,,,,,,,41,1625,,,
2016,1,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,4,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2020,12,Guyana,GUY,America,786559.0,,,,,,,,,,24,1168,,,
2016,5,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,2,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,3,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,8,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,9,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,6,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2016,7,Turkey,TUR,,,,,,,,,,,,,,61.1,72,51.3
2018,12,France,FRA,,,8.8,,,20.7,,,7.5,,,,,77.9,76.4,79.4
2018,11,France,FRA,,,8.8,,,20.7,,,7.5,,,,,77.9,76.4,79.4
2021,4,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,17,1810,,,
2021,5,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,216,10221,,,
2021,2,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,5,149,,,
2020,9,Malta,MLT,Europe,514564.0,,,,,,,,,,5,1145,92,92.8,91.2
2021,3,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,3,273,,,
2021,8,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,190,5757,,,
2021,9,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,193,5253,,,
2021,6,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,362,10602,,,
2021,7,Trinidad and Tobago,TTO,America,1399491.0,,,,,,,,,,261,5579,,,
2018,10,Belgium,BEL,,,5.7,,,12.5,,,5.2,,,,,83.4,82.6,84.2
2018,12,Belgium,BEL,,,5.7,,,12.5,,,5.1,,,,,83.4,82.6,84.2
2018,11,Belgium,BEL,,,5.8,,,12.5,,,5.3,,,,,83.4,82.6,84.2
2022,1,Mauritania,MRT,Africa,4649660.0,,,,,,,,,,36,12809,,,
2006,10,France,FRA,,,8.5,,,23.0,,,6.8,,,,,,,
2020,4,Malta,MLT,Europe,514564.0,,,,,,,,,,3,321,92,92.8,91.2
2006,11,France,FRA,,,8.4,,,22.8,,,6.7,,,,,,,
2020,3,Malta,MLT,Europe,514564.0,,,,,,,,,,0,107,92,92.8,91.2
2006,12,France,FRA,,,8.4,,,22.6,,,6.8,,,,,,,
2020,2,Malta,MLT,Europe,514564.0,,,,,,,,,,0,0,92,92.8,91.2
2020,1,Malta,MLT,Europe,514564.0,,,,,,,,,,0,0,92,92.8,91.2
2012,10,Slovakia,SVK,,,14.1,,,34.8,,,12.2,,,,,68.6,72.1,65.3
2020,8,Malta,MLT,Europe,514564.0,,,,,,,,,,0,437,92,92.8,91.2
2012,11,Slovakia,SVK,,,14.3,,,35.3,,,12.4,,,,,68.6,72.1,65.3
2020,7,Malta,MLT,Europe,514564.0,,,,,,,,,,0,24,92,92.8,91.2
2012,12,Slovakia,SVK,,,14.3,,,35.3,,,12.5,,,,,68.6,72.1,65.3
2020,6,Malta,MLT,Europe,514564.0,,,,,,,,,,3,95,92,92.8,91.2
2020,5,Malta,MLT,Europe,514564.0,,,,,,,,,,3,127,92,92.8,91.2
2021,7,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,36,,,
2021,8,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,496,,,
2021,5,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,13,,,
2021,6,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,19,,,
2021,3,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,20,,,
2021,4,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,17,,,
2021,1,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,8,,,
2021,2,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,0,6,,,
2020,1,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,0,0,,,
2020,2,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,0,0,,,
2021,9,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,14,3376,,,
2020,7,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,2599,206204,,,
2021,11,Turkey,TUR,Europe,8.3154997E7,,,,,,,,,,5943,790193,,,
2020,8,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,6329,283616,,,
2021,12,Turkey,TUR,Europe,8.3154997E7,,,,,,,,,,5718,675385,,,
2020,9,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,4481,78659,,,
2020,3,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,0,274,,,
2020,4,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,54,2884,,,
2020,5,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,210,12357,,,
2020,6,South Africa,ZAF,Africa,5.930869E7,,,,,,,,,,1216,54523,,,
2021,10,Turkey,TUR,Europe,8.3154997E7,,,,,,,,,,6098,757931,,,
2005,6,United Kingdom,GBR,,,,,,12.50575,,,3.24952,,,,,,,
2005,7,United Kingdom,GBR,,,,,,12.59921,,,3.219837,,,,,,,
2005,4,United Kingdom,GBR,,,,,,12.6923,,,3.277935,,,,,,,
2005,5,United Kingdom,GBR,,,,,,12.77597,,,3.259259,,,,,,,
2005,8,United Kingdom,GBR,,,,,,12.7479,,,3.253708,,,,,,,
2005,9,United Kingdom,GBR,,,4.931824,,,13.62545,,,3.327093,,,,,,,
2022,1,Madagascar,MDG,Africa,2.7691019E7,,,,,,,,,,102,3393,,,
2008,1,Slovakia,SVK,,,10.4,,,19.3,,,9.3,,,,,,,
2008,6,Slovakia,SVK,,,9.9,,,19.8,,,8.7,,,,,,,
2008,7,Slovakia,SVK,,,9.4,,,19.2,,,8.3,,,,,,,
2008,8,Slovakia,SVK,,,9.0,,,18.7,,,8.0,,,,,,,
2008,9,Slovakia,SVK,,,8.8,,,19.0,,,7.7,,,,,,,
2008,2,Slovakia,SVK,,,10.3,,,19.2,,,9.2,,,,,,,
2008,3,Slovakia,SVK,,,10.2,,,19.7,,,9.0,,,,,,,
2017,1,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2008,4,Slovakia,SVK,,,10.2,,,19.7,,,9.1,,,,,,,
2017,2,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2008,5,Slovakia,SVK,,,10.2,,,20.1,,,9.1,,,,,,,
2017,3,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2013,3,Slovenia,SVN,,,10.8,,,21.7,,,9.8,,,,,73.8,79.3,68.1
2013,4,Slovenia,SVN,,,10.9,,,25.1,,,9.7,,,,,73.8,79.3,68.1
2013,5,Slovenia,SVN,,,10.7,,,25.1,,,9.5,,,,,73.8,79.3,68.1
2013,6,Slovenia,SVN,,,10.3,,,25.1,,,9.2,,,,,73.8,79.3,68.1
2013,7,Slovenia,SVN,,,10.0,,,20.6,,,9.0,,,,,73.8,79.3,68.1
2013,8,Slovenia,SVN,,,9.8,,,20.6,,,9.0,,,,,73.8,79.3,68.1
2013,9,Slovenia,SVN,,,9.7,,,20.6,,,8.9,,,,,73.8,79.3,68.1
2021,2,Israel,ISR,Asia,8655541.0,,,,,,,,,,962,131895,,,
2021,1,Israel,ISR,Asia,8655541.0,,,,,,,,,,1363,204090,,,
2021,4,Israel,ISR,Asia,8655541.0,,,,,,,,,,158,6072,,,
2017,4,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2021,3,Israel,ISR,Asia,8655541.0,,,,,,,,,,436,53840,,,
2017,5,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2021,6,Israel,ISR,Asia,8655541.0,,,,,,,,,,23,621,,,
2017,6,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2021,5,Israel,ISR,Asia,8655541.0,,,,,,,,,,52,1235,,,
2017,7,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2021,8,Israel,ISR,Asia,8655541.0,,,,,,,,,,218,90063,,,
2017,8,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2021,7,Israel,ISR,Asia,8655541.0,,,,,,,,,,23,12236,,,
2017,9,Romania,ROU,,,,,,,,,,,,,,76,77.6,74.5
2013,1,Slovenia,SVN,,,10.2,,,21.7,,,9.4,,,,,73.8,79.3,68.1
2013,2,Slovenia,SVN,,,10.6,,,21.7,,,9.7,,,,,73.8,79.3,68.1
2021,9,Israel,ISR,Asia,8655541.0,,,,,,,,,,716,234031,,,
2006,10,Estonia,EST,,,5.8,,,11.8,,,5.2,,,,,,,
2006,12,Estonia,EST,,,5.1,,,11.5,,,4.4,,,,,,,
2006,11,Estonia,EST,,,5.4,,,11.7,,,4.7,,,,,,,
2007,11,United Kingdom,GBR,,,5.156637,,,13.86942,,,3.55163,,,,,,,
2007,12,United Kingdom,GBR,,,5.177152,,,13.8416,,,3.579584,,,,,,,
2007,10,United Kingdom,GBR,,,5.239374,,,14.04202,,,3.615367,,,,,,,
2015,12,Denmark,DNK,,,,,,,,,,,,,,80.8,84.1,77.4
2016,1,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,2,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,3,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,4,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2021,9,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,63,27742,,,
2021,7,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,143,50457,,,
2021,8,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,101,39290,,,
2016,5,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,6,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,7,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2016,8,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2020,10,Dominican Republic,DOM,America,1.0847904E7,,,,,,,,,,289,15147,,,
2016,9,Romania,ROU,,,,,,,,,,,,,,69.3,75.1,63.6
2020,12,Dominican Republic,DOM,America,1.0847904E7,,,,,,,,,,81,16141,,,
2020,11,Dominican Republic,DOM,America,1.0847904E7,,,,,,,,,,115,12852,,,
2005,3,United Kingdom,GBR,,,,,,12.37495,,,3.279452,,,,,,,
2018,10,Estonia,EST,,,5.2,,,16.6,,,4.2,,,,,81.7,85.5,77.5
2020,11,United Kingdom,GBR,Europe,6.8059863E7,5.219832,,,14.73246,,,3.926754,,,4367,531936,,,
2018,11,Estonia,EST,,,4.7,,,12.5,,,4.1,,,,,81.7,85.5,77.5
2020,10,United Kingdom,GBR,Europe,6.8059863E7,5.10721,,,14.39174,,,3.835912,,,799,155826,,,
2018,12,Estonia,EST,,,4.4,,,10.8,,,3.9,,,,,81.7,85.5,77.5
2020,12,United Kingdom,GBR,Europe,6.8059863E7,5.134026,,,14.61457,,,3.859661,,,11528,582413,,,
2019,10,Portugal,PRT,,,6.6,,,17.8,,,5.7,,,,,80.3,81.5,79.2
2021,1,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,168,88877,,,
2021,2,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,371,87915,,,
2018,1,United Kingdom,GBR,,,4.213097,,,12.0505,,,3.053589,,,,,86.7,86.2,87
2021,5,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,80,45369,,,
2021,6,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,106,55922,,,
2019,12,Portugal,PRT,,,6.8,,,18.6,,,5.9,,,,,80.3,81.5,79.2
2021,3,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,265,49207,,,
2019,11,Portugal,PRT,,,6.8,,,18.6,,,5.9,,,,,80.3,81.5,79.2
2021,4,United Arab Emirates,ARE,Asia,9890400.0,,,,,,,,,,85,70007,,,
