Year,Month,Country,CountryCode,Continent,Population ,Unemployment rate total,Unemployment rate men,Unemployment rate women,Unemployment rate 14-24yo,Unemployment rate 14-24yo men,Unemployment rate 14-24yo women,Unemployment rate 25-75yo,Unemployment rate 25-75yo men,Unemployment rate 25-75yo women,CovidDeath,CovidCases,Recent graduates employment rate total (20-34yo),Recent graduates employment rate men,Recent graduates employment rate women
2010,10,Spain,ESP,,,20.1,,,42.5,,,18.0,,,,,70.6,71.2,70.1
2013,8,Greece,GRC,,,27.5,,,60.2,,,25.4,,,,,,,
2013,11,Italy,ITA,,,12.5,,,41.9,,,10.5,,,,,48.5,49.4,47.6
2007,9,Italy,ITA,,,6.2,,,20.3,,,5.1,,,,,,,
2013,9,Greece,GRC,,,27.8,,,55.2,,,25.8,,,,,,,
2013,12,Italy,ITA,,,12.6,,,42.2,,,10.5,,,,,48.5,49.4,47.6
2013,10,Italy,ITA,,,12.6,,,42.3,,,10.5,,,,,48.5,49.4,47.6
2021,11,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,15,5520,,,
2013,7,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2021,10,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,23,4099,,,
2013,8,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2013,12,Greece,GRC,,,27.5,,,56.9,,,25.5,,,,,,,
2013,5,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2013,11,Greece,GRC,,,27.8,,,58.1,,,25.7,,,,,,,
2021,12,Brunei Darussalam,BRN,Asia,437483.0,,,,,,,,,,2,1404,,,
2013,6,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2013,9,Poland,POL,,,,,,,,,,,,,,73.2,77.9,68.8
2012,6,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2012,7,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2012,8,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
2012,9,Hungary,HUN,,,,,,,,,,,,,,73.3,74.4,72.4
