Year,Month,Country,Recent_graduates_20-34_employment_rate_t,Recent_graduates_20-34_employment_rate_m,Recent_graduates_20-34_employment_rate_f
2009,8,AUT,87.9,88.8,86.9
2009,9,AUT,87.9,88.8,86.9
2009,10,AUT,87.9,88.8,86.9
2009,11,AUT,87.9,88.8,86.9
2009,12,AUT,87.9,88.8,86.9
2010,1,AUT,88,88.7,87.2
2010,2,AUT,88,88.7,87.2
2010,3,AUT,88,88.7,87.2
2010,4,AUT,88,88.7,87.2
2010,5,AUT,88,88.7,87.2
2010,6,AUT,88,88.7,87.2
2010,7,AUT,88,88.7,87.2
2010,8,AUT,88,88.7,87.2
2010,9,AUT,88,88.7,87.2
2010,10,AUT,88,88.7,87.2
2010,11,AUT,88,88.7,87.2
2010,12,AUT,88,88.7,87.2
2011,1,AUT,90.5,91.1,89.6
2011,2,AUT,90.5,91.1,89.6
2011,3,AUT,90.5,91.1,89.6
2011,4,AUT,90.5,91.1,89.6
2011,5,AUT,90.5,91.1,89.6
2011,6,AUT,90.5,91.1,89.6
2011,7,AUT,90.5,91.1,89.6
2011,8,AUT,90.5,91.1,89.6
2011,9,AUT,90.5,91.1,89.6
2011,10,AUT,90.5,91.1,89.6
2011,11,AUT,90.5,91.1,89.6
2011,12,AUT,90.5,91.1,89.6
2012,1,AUT,90.6,91.1,90.2
2012,2,AUT,90.6,91.1,90.2
2012,3,AUT,90.6,91.1,90.2
2012,4,AUT,90.6,91.1,90.2
2012,5,AUT,90.6,91.1,90.2
2012,6,AUT,90.6,91.1,90.2
2012,7,AUT,90.6,91.1,90.2
2012,8,AUT,90.6,91.1,90.2
2012,9,AUT,90.6,91.1,90.2
2012,10,AUT,90.6,91.1,90.2
2012,11,AUT,90.6,91.1,90.2
2012,12,AUT,90.6,91.1,90.2
2013,1,AUT,89.7,91.4,87.8
2013,2,AUT,89.7,91.4,87.8
2013,3,AUT,89.7,91.4,87.8
2013,4,AUT,89.7,91.4,87.8
2013,5,AUT,89.7,91.4,87.8
2013,6,AUT,89.7,91.4,87.8
2013,7,AUT,89.7,91.4,87.8
2013,8,AUT,89.7,91.4,87.8
2013,9,AUT,89.7,91.4,87.8
2013,10,AUT,89.7,91.4,87.8
2013,11,AUT,89.7,91.4,87.8
2013,12,AUT,89.7,91.4,87.8
2014,1,AUT,87.2,87.5,86.8
2014,2,AUT,87.2,87.5,86.8
2014,3,AUT,87.2,87.5,86.8
2014,4,AUT,87.2,87.5,86.8
2014,5,AUT,87.2,87.5,86.8
2014,6,AUT,87.2,87.5,86.8
2014,7,AUT,87.2,87.5,86.8
2014,8,AUT,87.2,87.5,86.8
2014,9,AUT,87.2,87.5,86.8
2014,10,AUT,87.2,87.5,86.8
2014,11,AUT,87.2,87.5,86.8
2014,12,AUT,87.2,87.5,86.8
2015,1,AUT,86.9,87.4,86.4
2015,2,AUT,86.9,87.4,86.4
2015,3,AUT,86.9,87.4,86.4
2015,4,AUT,86.9,87.4,86.4
2015,5,AUT,86.9,87.4,86.4
2015,6,AUT,86.9,87.4,86.4
2015,7,AUT,86.9,87.4,86.4
2015,8,AUT,86.9,87.4,86.4
2015,9,AUT,86.9,87.4,86.4
2015,10,AUT,86.9,87.4,86.4
2015,11,AUT,86.9,87.4,86.4
2015,12,AUT,86.9,87.4,86.4
2016,1,AUT,87.6,87.1,88.2
2016,2,AUT,87.6,87.1,88.2
2016,3,AUT,87.6,87.1,88.2
2016,4,AUT,87.6,87.1,88.2
2016,5,AUT,87.6,87.1,88.2
2016,6,AUT,87.6,87.1,88.2
2016,7,AUT,87.6,87.1,88.2
2016,8,AUT,87.6,87.1,88.2
2016,9,AUT,87.6,87.1,88.2
2016,10,AUT,87.6,87.1,88.2
2016,11,AUT,87.6,87.1,88.2
2016,12,AUT,87.6,87.1,88.2
2017,1,AUT,89.4,88.9,90
2017,2,AUT,89.4,88.9,90
2017,3,AUT,89.4,88.9,90
2017,4,AUT,89.4,88.9,90
2017,5,AUT,89.4,88.9,90
2017,6,AUT,89.4,88.9,90
2017,7,AUT,89.4,88.9,90
2017,8,AUT,89.4,88.9,90
2017,9,AUT,89.4,88.9,90
2017,10,AUT,89.4,88.9,90
2017,11,AUT,89.4,88.9,90
2017,12,AUT,89.4,88.9,90
2018,1,AUT,88.6,91,85.9
2018,2,AUT,88.6,91,85.9
2018,3,AUT,88.6,91,85.9
2018,4,AUT,88.6,91,85.9
2018,5,AUT,88.6,91,85.9
2018,6,AUT,88.6,91,85.9
2018,7,AUT,88.6,91,85.9
2018,8,AUT,88.6,91,85.9
2018,9,AUT,88.6,91,85.9
2018,10,AUT,88.6,91,85.9
2018,11,AUT,88.6,91,85.9
2018,12,AUT,88.6,91,85.9
2019,1,AUT,89,90.5,87.4
2019,2,AUT,89,90.5,87.4
2019,3,AUT,89,90.5,87.4
2019,4,AUT,89,90.5,87.4
2019,5,AUT,89,90.5,87.4
2019,6,AUT,89,90.5,87.4
2019,7,AUT,89,90.5,87.4
2019,8,AUT,89,90.5,87.4
2019,9,AUT,89,90.5,87.4
2019,10,AUT,89,90.5,87.4
2019,11,AUT,89,90.5,87.4
2019,12,AUT,89,90.5,87.4
2020,1,AUT,88.4,88,88.8
2020,2,AUT,88.4,88,88.8
2020,3,AUT,88.4,88,88.8
2020,4,AUT,88.4,88,88.8
2020,5,AUT,88.4,88,88.8
2020,6,AUT,88.4,88,88.8
2020,7,AUT,88.4,88,88.8
2020,8,AUT,88.4,88,88.8
2020,9,AUT,88.4,88,88.8
2020,10,AUT,88.4,88,88.8
2020,11,AUT,88.4,88,88.8
2020,12,AUT,88.4,88,88.8
2009,1,GBR,80.1,80.6,79.7
2009,2,GBR,80.1,80.6,79.7
2009,3,GBR,80.1,80.6,79.7
2009,4,GBR,80.1,80.6,79.7
2009,5,GBR,80.1,80.6,79.7
2009,6,GBR,80.1,80.6,79.7
2009,7,GBR,80.1,80.6,79.7
2009,8,GBR,80.1,80.6,79.7
2009,9,GBR,80.1,80.6,79.7
2009,10,GBR,80.1,80.6,79.7
2009,11,GBR,80.1,80.6,79.7
2009,12,GBR,80.1,80.6,79.7
2010,1,GBR,81.3,84.9,78.1
2010,2,GBR,81.3,84.9,78.1
2010,3,GBR,81.3,84.9,78.1
2010,4,GBR,81.3,84.9,78.1
2010,5,GBR,81.3,84.9,78.1
2010,6,GBR,81.3,84.9,78.1
2010,7,GBR,81.3,84.9,78.1
2010,8,GBR,81.3,84.9,78.1
2010,9,GBR,81.3,84.9,78.1
2010,10,GBR,81.3,84.9,78.1
2010,11,GBR,81.3,84.9,78.1
2010,12,GBR,81.3,84.9,78.1
2011,1,GBR,81.0,84.1,78.5
2011,2,GBR,81.0,84.1,78.5
2011,3,GBR,81.0,84.1,78.5
2011,4,GBR,81.0,84.1,78.5
2011,5,GBR,81.0,84.1,78.5
2011,6,GBR,81.0,84.1,78.5
2011,7,GBR,81.0,84.1,78.5
2011,8,GBR,81.0,84.1,78.5
2011,9,GBR,81.0,84.1,78.5
2011,10,GBR,81.0,84.1,78.5
2011,11,GBR,81.0,84.1,78.5
2011,12,GBR,81.0,84.1,78.5
2012,1,GBR,81.5,83.9,79.4
2012,2,GBR,81.5,83.9,79.4
2012,3,GBR,81.5,83.9,79.4
2012,4,GBR,81.5,83.9,79.4
2012,5,GBR,81.5,83.9,79.4
2012,6,GBR,81.5,83.9,79.4
2012,7,GBR,81.5,83.9,79.4
2012,8,GBR,81.5,83.9,79.4
2012,9,GBR,81.5,83.9,79.4
