Year,Mounth,Country,Unemp_total,Unemp_25_74,Unemp_15_24,Unemp_men,Unemp_women,Unemp_15_24_men,Unemp_15_24_women,Unemp_25_74_men,Unemp_25_74_women
2005,08,LTU,,7.2,13.5,,,,,,
2005,08,SVN,,5.3,16.9,,,,,,
2005,09,AUT,6.1,5.3,11.5,,,,,,
2005,09,BEL,8.5,7.2,21.2,,,,,,
2005,09,FIN,7.9,6.2,20.1,,,,,,
2005,09,FRA,9.0,7.3,22.9,,,,,,
2005,09,DEU,11.1,10.6,15.1,,,,,,
2005,09,GRC,10.4,8.7,27.0,,,,,,
2005,09,IRL,4.6,3.6,8.8,,,,,,
2005,09,ITA,7.8,6.1,24.8,,,,,,
2005,09,LUX,4.6,3.8,14.4,,,,,,
2005,09,NLD,5.8,4.7,11.9,,,,,,
2005,09,PRT,9.5,8.0,21.6,,,,,,
2005,09,SVK,16.1,14.2,30.8,,,,,,
2005,09,ESP,8.5,7.2,18.2,,,,,,
2005,09,GBR,4.931824,3.327093,13.62545,,,,,,
2005,09,USA,5.0,4.023403,10.8,,,,,,
2005,09,EST,7.8,6.8,15.4,,,,,,
2005,09,LVA,9.9,9.7,11.2,,,,,,
2005,09,LTU,7.4,6.9,13.2,,,,,,
2005,09,SVN,6.9,5.5,16.9,,,,,,
2005,10,AUT,6.2,5.3,11.6,,,,,,
2005,10,BEL,8.4,7.0,22.0,,,,,,
2005,10,FIN,7.8,6.5,17.5,,,,,,
2005,10,FRA,9.1,7.4,22.9,,,,,,
2005,10,DEU,11.0,10.5,14.8,,,,,,
2005,10,GRC,10.0,8.4,26.2,,,,,,
2005,10,IRL,4.5,3.5,8.6,,,,,,
2005,10,ITA,7.8,6.2,24.8,,,,,,
2005,10,LUX,4.6,3.8,14.8,,,,,,
2005,10,NLD,5.8,4.7,11.7,,,,,,
2005,10,PRT,9.5,8.1,21.0,,,,,,
2005,10,SVK,16.0,14.1,30.3,,,,,,
2005,10,ESP,8.6,7.3,18.5,,,,,,
2005,10,GBR,5.055046,3.486948,13.59926,,,,,,
2005,10,USA,5.0,3.946904,10.8,,,,,,
2005,10,EST,7.6,6.8,14.4,,,,,,
2005,10,LVA,9.4,8.8,13.2,,,,,,
2005,10,LTU,7.2,6.6,13.6,,,,,,
2005,10,SVN,7.1,5.9,16.7,,,,,,
2005,11,AUT,6.1,5.1,11.8,,,,,,
2005,11,BEL,8.4,6.9,22.0,,,,,,
2005,11,FIN,8.5,6.9,19.8,,,,,,
2005,11,FRA,9.1,7.4,23.1,,,,,,
2005,11,DEU,10.8,10.3,14.6,,,,,,
2005,11,GRC,9.5,7.9,26.7,,,,,,
2005,11,IRL,4.5,3.6,8.6,,,,,,
2005,11,ITA,7.6,6.2,22.6,,,,,,
